Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,Unpolarized capacitor,C,C5 C6,100n,C_Rect_L18.0mm_W8.0mm_P15.00mm_FKS3_FKP3,2,
2,Unpolarized capacitor,C_Small,C14,10n,C_0805_HandSoldering,1,
3,Unpolarized capacitor,C_Small,C1 C16 C28,1u,C_1206_HandSoldering,3,
4,Unpolarized capacitor,C,C2 C4,C,CP_Axial_L30.0mm_D10.0mm_P35.00mm_Horizontal,2,
5,Unpolarized capacitor,C,C3,C,C_Rect_L18.0mm_W5.0mm_P15.00mm_FKS3_FKP3,1,
6,Unpolarized capacitor,C_Small,C17 C18,C_Small,C_0805_HandSoldering,2,
7,Diode schottky,C5D50065D,D7,C5D50065D,TO-247_TO-3P_Vertical,1,
8,Diode bridge,CrydomM50,D1,CrydomM50,CrydomM50x_Fixed,1,http://www.crydom.com/en/products/catalog/m50-diode-series-power-modules.pdf
9,"Zener Diode, small symbol, alternativ symbol",D_Zener_Small_ALT,D2 D3,D_Zener_Small_ALT,D_SOD-123,2,https://en.wikipedia.org/wiki/Zener_diode
10,,IDW75E60,D5,IDW75E60,TO-247_TO-3P_Vertical,1,https://www.infineon.com/dgdl/IDW75E60_V2_1.pdf?folderId=db3a304412b407950112b408e8c90004&fileId=db3a304412b407950112b438de4f6bbe
11,EMI 2-inductor-filter,EMI_Filter_CommonMode,FL1,EMI_Filter_CommonMode,RB6522_Size4,1,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/emc/emifil/c30e.ashx?la=en-gb
12,"Generic connector, single row, 01x04",Conn_01x04,J10,Conn_01x04,Pin_Header_Straight_1x04_Pitch2.54mm,1,
13,"Generic connector, single row, 01x06",Conn_01x06,J8 J9,Conn_01x06,Pin_Header_Straight_1x06_Pitch2.54mm,2,
14,"Generic connector, double row, 02x02, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers)",Conn_02x02_Odd_Even,J6 J7 J11,Conn_02x02_Odd_Even,Conn_4pins_15A,3,
15,"Generic connector, double row, 02x03, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers)",Conn_02x03_Odd_Even,J1 J2,Conn_02x03_Odd_Even,Conn_6pins_30A,2,
16,"Generic connector, double row, 02x05, top/bottom pin numbering scheme (row 1: 1...pins_per_row, row2: pins_per_row+1 ... num_pins)",Conn_02x05_Top_Bottom,J4 J5,Conn_02x05_Top_Bottom,Hirose_FX30B_5P_DSA,2,http://www.mouser.com/catalog/specsheets/Hirose_FX30B%20Series.pdf
17,"Generic connector, double row, 02x06, counter clockwise pin numbering scheme (similar to DIP packge numbering)",Conn_02x06_Counter_Clockwise,J3,Conn_02x06_Counter_Clockwise,Harwin_M55_6001242R,1,https://www.mouser.com.tr/datasheet/2/181/M55-60X-1286666.pdf
18,,INDUCTOR,L1,INDUCTOR,OD_77.80xID_39.34xHT_25.85_Vertical,1,
19,,SCREW,MP1 MP2 MP3 MP4 MP5 MP6,SCREW,SCREW_3mm,6,
20,Transistor N-MOSFET with substrate diode (general),Q_NMOS_GDS,Q1 Q2,Q_NMOS_GDS,TO-247_TO-3P_Vertical,2,
21,Resistor,R,R8 R9 R11 R12,0.003,R_2512_HandSoldering,4,
22,"Resistor, small symbol",R_Small,R31 R32,10k,R_1206_HandSoldering,2,
23,Resistor,R,R16 R17,4R7,R_2512_HandSoldering,2,
24,"Resistor, small symbol",R_Small,R1 R2 R14 R19 R25 R26 R27 R28 R29 R30,R_Small,R_1206_HandSoldering,10,
25,"Resistor, small symbol",R_Small,R3,R_Small,R_0805_HandSoldering,1,
26,,1EDI60N12AF,U2,1EDI60N12AF,SOIC-8_3.9x4.9mm_Pitch1.27mm,1,





Component Groups:,26
Component Count:,57
Fitted Components:,57
Number of PCBs:,1
Total components:,57
Schematic Version:,
Schematic Date:,
BoM Date:,10.06.2018 20:18:45
Schematic Source:,D:\KiCAD\Projects\PFC2k5W\Power\power_module.sch
KiCad Version:,Eeschema 4.0.7
